DOID:0060539	OMIM:203300
DOID:0060540	OMIM:608233
DOID:0060541	OMIM:614072
DOID:0060542	OMIM:614073
DOID:0060543	OMIM:614074
DOID:0060544	OMIM:614075
DOID:0060545	OMIM:614076
DOID:0060546	OMIM:614077
DOID:0060547	OMIM:614171
DOID:0060549	OMIM:209885
DOID:0060550	OMIM:200110
DOID:0060551	OMIM:604173
DOID:0060556	OMIM:606693
DOID:0060557	OMIM:615217
DOID:0060558	OMIM:PS253310
DOID:0060559	OMIM:253310
DOID:0060560	OMIM:607598
DOID:0060563	OMIM:169100
DOID:0060565	OMIM:PS220210
DOID:0060566	OMIM:236110
DOID:0060569	OMIM:239850
DOID:0060571	OMIM:220210
DOID:0060572	OMIM:300963
DOID:0060573	OMIM:193400
DOID:0060574	OMIM:613554
DOID:0060575	OMIM:257920
DOID:0060576	OMIM:265050
DOID:0060577	OMIM:248340
DOID:0060578	OMIM:163950
DOID:0060580	OMIM:605275
DOID:0060581	OMIM:609942
DOID:0060582	OMIM:610733
DOID:0060583	OMIM:611553
DOID:0060584	OMIM:613224
DOID:0060585	OMIM:613706
DOID:0060586	OMIM:615355
DOID:0060587	OMIM:616559
DOID:0060588	OMIM:616564
DOID:0060589	OMIM:216340
DOID:0060590	OMIM:610965
DOID:0060591	OMIM:193670
DOID:0060599	OMIM:302350
DOID:0060601	OMIM:262850
DOID:0060602	OMIM:614307
DOID:0060603	OMIM:106190
DOID:0060604	OMIM:106280
DOID:0060608	OMIM:210710
DOID:0060609	OMIM:210720
DOID:0060610	OMIM:155310
DOID:0060611	OMIM:PS605552
DOID:0060612	OMIM:615812
DOID:0060613	OMIM:303400
DOID:0060614	OMIM:181450
DOID:0060638	OMIM:610199
DOID:0060639	OMIM:606176
DOID:0060640	OMIM:602473
DOID:0060641	OMIM:612651
DOID:0060642	OMIM:226600
DOID:0060643	OMIM:613806
DOID:0060644	OMIM:600092
DOID:0060645	OMIM:259680
DOID:0060646	OMIM:603523
DOID:0060647	OMIM:613630
DOID:0060648	OMIM:PS107250
DOID:0060649	OMIM:217700
DOID:0060650	OMIM:222730
DOID:0060651	OMIM:155100
DOID:0060652	OMIM:133100
DOID:0060653	OMIM:611369
DOID:0060654	OMIM:614915
DOID:0060655	OMIM:PS242300
DOID:0060656	OMIM:242300
DOID:0060668	OMIM:206500
DOID:0060669	OMIM:PS116860
DOID:0060670	OMIM:603284
DOID:0060671	OMIM:603285
DOID:0060672	OMIM:607485
DOID:0060673	OMIM:604229
DOID:0060674	OMIM:PS604772
DOID:0060675	OMIM:604772
DOID:0060676	OMIM:611938
DOID:0060677	OMIM:614021
DOID:0060678	OMIM:614916
DOID:0060679	OMIM:615441
DOID:0060680	OMIM:600510
DOID:0060681	OMIM:PS600513
DOID:0060682	OMIM:600513
